speedsum,fannumber,currenttemp,currentpower
215100,12,34,167
215000,12,34,168
215000,12,34,168
214900,12,34,166
214700,12,34,165
215000,12,34,167
215000,12,34,167
215200,12,34,166
215200,12,34,166
215200,12,34,166
215300,12,34,166
215300,12,34,166
214900,12,34,166
214600,12,34,166
214600,12,34,166
215100,12,34,166
215100,12,34,166
215100,12,34,166
215100,12,34,167
215100,12,34,167
215100,12,34,166
215200,12,34,166
215200,12,34,166
215100,12,34,166
215100,12,34,166
215100,12,34,166
214700,12,34,166
214700,12,34,166
214800,12,34,166
214800,12,34,166
214800,12,34,166
215300,12,34,166
215300,12,34,165
215100,12,34,166
215000,12,34,166
215100,12,34,166
215100,12,34,166
215300,12,34,166
215100,12,34,166
215100,12,34,166
215100,12,34,165
215000,12,34,165
215100,12,34,166
215100,12,34,166
215000,12,34,166
215000,12,34,166
214700,12,34,166
214700,12,34,166
214900,12,34,166
215000,12,34,166
215200,12,34,166
215200,12,34,167
214800,12,34,167
214800,12,34,166
214800,12,34,167
214900,12,34,167
214900,12,34,168
214700,12,34,168
214700,12,34,168
214700,12,34,167
215100,12,34,166
214900,12,34,166
214900,12,34,166
214800,12,34,165
214800,12,34,165
215300,12,34,165
215300,12,34,165
214900,12,34,165
214800,12,34,165
214800,12,34,165
215200,12,34,167
214800,12,34,167
214800,12,34,167
215000,12,34,166
214700,12,34,165
214700,12,34,167
215100,12,34,167
215300,12,34,165
215300,12,34,165
214800,12,34,165
214800,12,34,166
214900,12,34,167
214900,12,34,167
214900,12,34,167
214800,12,34,167
214800,12,34,166
214800,12,34,165
215000,12,34,166
215300,12,34,167
214900,12,34,167
215400,12,34,166
214800,12,34,166
215200,12,34,166
215300,12,34,166
215000,12,34,166
215000,12,34,166
215000,12,34,168
215000,12,34,168
215000,12,34,167
